Family,Group,English Name,Scientific Name,IUCN Category
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Black-headed snake,Cantor's black-headed snake,Sibynophis sagittarius,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Black-headed snake,Dumeril's black-headed snake,Sibynophis subpunctatus,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Royal snake,Red-spotted royal snake,Spalerosophis arenarius,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Royal snake,Black-headed royal snake,Spalerosophis atriceps,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Royal snake,Blotched royal snake,Spalerosophis diadema,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Racer snakes,Gujarat striped racer,Wallaceophis gujaratensis,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Smooth snake,Indian smooth snake,Wallophis brachyurus,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Vine snake,Variable vine snake,Ahaetulla anomala,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Wolf snake,Slender wolf snake,Lycodon anamallensis,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Vine snake,Günther's vine snake,Ahaetulla dispar,Near Threatened
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Kukri snake,Striped kukri snake,Oligodon brevicaudus,Vulnerable
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Kukri snake,Darjeeling kukri snake,Oligodon juglandifer,Vulnerable
Crocodylidae (Crocodiles),Gharial,Gharial,Gavialis gangeticus,Critically Endangered
Crocodylidae (Crocodiles),Crocodiles,Saltwater crocodile,Crocodylus porosus,Least Concern
Crocodylidae (Crocodiles),Crocodiles,Mugger crocodile,Crocodylus palustris,Vulnerable
